,placa,loc_latitude,loc_longitude,count
121,BRN0976,7210,1962,1
122,BSR5852,3500,6325,1
123,OEI9822,3944,7554,1
124,JFP9686,5000,4778,1
125,BMM0023,7122,5194,1
126,HIR3281,6842,4782,1
127,OQF4653,6967,2919,1
128,OYR1938,4608,1990,1
129,IIJ1017,1688,7419,1
130,ANQ1521,7938,8810,1
131,OGW4576,6842,4782,1
132,KZQ5644,5825,9794,1
133,OGD2050,7210,1962,1
134,PGM1790,7556,4971,1
135,HHX7967,4082,6528,1
136,OKI7191,2422,8622,1
137,NPL1456,5303,7658,1
138,OKS0760,3366,9194,1
139,KDN3361,3538,70,1
140,PEW1350,9711,2269,1
141,ORS1609,5825,9794,1
142,OWS1412,6842,4782,1
143,IPI1987,2967,3581,1
144,OXM7542,8310,2494,1
145,OYR1018,9666,833,1
146,OTF0868,2422,8622,1
147,HIY1606,4361,2544,1
148,OUM0479,1000,833,1
149,ORS5191,8188,8761,1
150,OFS0665,9666,833,1
151,MDY8551,9612,8692,1
152,OTJ0185,2672,342,1
153,BPR6610,1382,4248,1
154,III1011,9612,8692,1
155,BKS0353,8310,2494,1
156,BAS0328,7122,5194,1
157,BPR3213,472,5552,1
158,HBR1155,4608,1990,1
159,BAN7468,638,3103,1
160,HLY3444,8525,2161,1
161,OAZ1954,224,9684,1
162,OBC3909,3553,9819,1
163,HDY3367,2422,8622,1
164,LYR1054,1308,9661,1
165,JXI9598,3976,6305,2
166,OEI0048,2403,9277,1
167,JXI9598,7260,9133,1
168,OEG3493,722,4300,1
169,OGS0383,4117,2929,1
170,PIX8428,6072,9488,1
171,MOQ9799,9422,5310,1
172,OIA7584,132,5022,1
173,OTS5364,1708,1402,1
174,NMJ3825,1000,833,1
175,OAF0538,5825,9794,1
176,MIZ4745,7428,4378,1
177,HOY7400,7812,6182,1
178,EIA9681,1444,4721,1
179,OAF0538,7812,6182,1
180,KDY6083,8653,2233,1
181,OGT6215,7388,5319,2
182,IZI2809,1708,1402,1
183,NAV8036,7944,9952,1
184,OUG4100,3522,1867,1
185,EOA5466,224,9684,1
186,NUD8757,4853,8470,1
187,HDY0546,5825,9794,1
188,PGX3301,7388,5319,1
189,ODI7839,461,4253,1
190,JXE5214,2374,6763,1
191,PTM9312,5010,8083,2
192,HDU1269,1772,1190,1
